Image Name,lifecycle segment,weather,censhareid,category
a_1day_190306_loy1,loyalist,both,13955356,women
a_1day_190306_loy2,loyalist,both,14122880,women
a_1day_190306_loy3,loyalist,both,14462014,women
a_1day_190306_loy4,loyalist,both,13969739,women
a_1day_190306_loy5,loyalist,both,14299924,men
a_1day_190306_loy6,loyalist,both,13969942,men
a_1day_190306_loy7,loyalist,both,13918240,men
a_1day_190306_loy8,loyalist,both,13965339,kids
a_1day_190306_loy9,loyalist,both,14474799,kids
a_1day_190306_loy10,loyalist,both,14261345,kids
a_1day_190306_loy11,loyalist,both,12811326,home
a_1day_190306_loy12,loyalist,both,13361110,home
a_1day_190306_loy13,loyalist,both,11144468,home
a_1day_190306_loy14,loyalist,both,13822855,home
a_1day_190306_loy15,loyalist,both,13809719,home
a_1day_190306_non1,non-loyalist  (&prospect),both,14277619,women
a_1day_190306_non2,non-loyalist  (&prospect),both,13965743,women
a_1day_190306_non3,non-loyalist  (&prospect),both,13965802,women
a_1day_190306_non4,non-loyalist  (&prospect),both,13995962,women
a_1day_190306_non5,non-loyalist  (&prospect),both,14134117,men
a_1day_190306_non6,non-loyalist  (&prospect),both,13969727,men
a_1day_190306_non7,non-loyalist  (&prospect),both,14122807,men
a_1day_190306_non8,non-loyalist  (&prospect),both,13689674,men
a_1day_190306_non9,non-loyalist  (&prospect),both,13964476,kids
a_1day_190306_non10,non-loyalist  (&prospect),both,13967478,kids
a_1day_190306_non11,non-loyalist  (&prospect),both,13966042,kids
a_1day_190306_non12,non-loyalist  (&prospect),both,11143951,home
a_1day_190306_non13,non-loyalist  (&prospect),both,11144337,home
a_1day_190306_non14,non-loyalist  (&prospect),both,12350704,home
a_1day_190306_non15,non-loyalist  (&prospect),both,5094041,home
a_1day_190306_non16,non-loyalist  (&prospect),both,9080245,home
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
