Image Name,lifecycle segment,category,brand,webid,weather
a_gpo_082218_both1,loyalist,kids,Jansport,,cold
a_gpo_082218_both2,loyalist,kids,Sketchers,,cold
a_gpo_082218_both3,loyalist,kids,Jansport,,hot
a_gpo_082218_both4,loyalist,kids,Carters,,hot
a_gpo_082218_both5,loyalist,home,DASH,,both
a_gpo_082218_both6,loyalist,home,Lauren Conrad,,both
a_gpo_082218_both7,loyalist,home,Keurig,,both
a_gpo_082218_loy1,loyalist,women,Lauren Conrad,,cold
a_gpo_082218_loy2,loyalist,women,Sonoma,,cold
a_gpo_082218_loy3,loyalist,women,New Balance,,cold
a_gpo_082218_loy4,loyalist,women,Lauren Conrad,,hot
a_gpo_082218_loy5,loyalist,women,Sonoma,,hot
a_gpo_082218_loy6,loyalist,women,Keds,,hot
a_gpo_082218_loy7,loyalist,men,Croft & Barrow,,cold
a_gpo_082218_loy8,loyalist,men,Sonoma,,cold
a_gpo_082218_loy9,loyalist,men,New Balance,,cold
a_gpo_082218_loy10,loyalist,men,Croft & Barrow,,hot
a_gpo_082218_loy11,loyalist,men,Apt 9,,hot
a_gpo_082218_loy12,loyalist,men,Vans,,hot
a_gpo_082218_loy13,loyalist,juniors/young men,Urban Pipeline,,cold
a_gpo_082218_loy14,loyalist,juniors/young men,SO,,cold
a_gpo_082218_loy15,loyalist,juniors/young men,SO,,cold
a_gpo_082218_loy16,loyalist,juniors/young men,Urban Pipeline,,hot
a_gpo_082218_loy17,loyalist,juniors/young men,SO,,hot
a_gpo_082218_loy18,loyalist,juniors/young men,Mudd,,hot
a_gpo_082218_loy19,loyalist,kids,Jumping Beans,,cold
a_gpo_082218_loy20,loyalist,kids,Jumping Beans,,hot
a_gpo_082218_loy21,loyalist,kids,FILA,,hot
a_gpo_082218_loy22,loyalist,home,The Big One,,both
a_gpo_082218_loy23,loyalist,home,Simple By Design,,both
a_gpo_082218_both1,non-loyalist  (&prospect),kids,Jansport,,cold
a_gpo_082218_both2,non-loyalist  (&prospect),kids,Sketchers,,cold
a_gpo_082218_both3,non-loyalist  (&prospect),kids,Jansport,,hot
a_gpo_082218_both4,non-loyalist  (&prospect),kids,Carters,,hot
a_gpo_082218_both5,non-loyalist  (&prospect),home,DASH,,both
a_gpo_082218_both6,non-loyalist  (&prospect),home,Lauren Conrad,,both
a_gpo_082218_both7,non-loyalist  (&prospect),home,Keurig,,both
a_gpo_082218_non1,non-loyalist  (&prospect),women,Levis,,cold
a_gpo_082218_non2,non-loyalist  (&prospect),women,Ray Ban,,both
a_gpo_082218_non3,non-loyalist  (&prospect),women,Adidas,,cold
a_gpo_082218_non4,non-loyalist  (&prospect),women,Levis,,hot
a_gpo_082218_non5,non-loyalist  (&prospect),women,Adidas,,hot
a_gpo_082218_non6,non-loyalist  (&prospect),men,Nike,,cold
a_gpo_082218_non7,non-loyalist  (&prospect),men,Under Armour,,cold
a_gpo_082218_non8,non-loyalist  (&prospect),men,Adidas,,cold
a_gpo_082218_non9,non-loyalist  (&prospect),men,Under Armour,,hot
a_gpo_082218_non10,non-loyalist  (&prospect),men,Nike,,hot
a_gpo_082218_non11,non-loyalist  (&prospect),men,Adidas,,hot
a_gpo_082218_non12,non-loyalist  (&prospect),juniors/young men,Levis,,cold
a_gpo_082218_non13,non-loyalist  (&prospect),juniors/young men,Levis,,cold
a_gpo_082218_non14,non-loyalist  (&prospect),juniors/young men,Nike,,cold
a_gpo_082218_non15,non-loyalist  (&prospect),juniors/young men,Levis,,hot
a_gpo_082218_non16,non-loyalist  (&prospect),juniors/young men,Adidas,,hot
a_gpo_082218_non17,non-loyalist  (&prospect),juniors/young men,Nike,,hot
a_gpo_082218_non18,non-loyalist  (&prospect),kids,Under Armour,,cold
a_gpo_082218_non19,non-loyalist  (&prospect),kids,Under Armour,,cold
a_gpo_082218_non20,non-loyalist  (&prospect),kids,Nike,,cold
a_gpo_082218_non21,non-loyalist  (&prospect),kids,Adidas,,hot
a_gpo_082218_non22,non-loyalist  (&prospect),kids,Nike,,hot
a_gpo_082218_non23,non-loyalist  (&prospect),home,Fitbit,,both
